freq,120uA - lower,120uA - upper,1.2mA - lower,1.2mA - upper,12mA - lower,12mA - upper,120mA - lower,120mA - upper
3,51500,5666.67,9833.33,2333.33,4000,1750,4000,1750
5,51500,5666.67,9833.33,2333.33,4000,1750,4000,1750
5,51500,5666.67,9833.33,2333.33,4000,1750,4000,1750
10,51500,5666.67,9833.33,2333.33,4000,1750,4000,1750
10,50300,4466.67,8633.33,1133.33,2800,550,2800,550
5000,50300,4466.67,8633.33,1133.33,2800,550,2800,550
5000,55000,9166.67,13333.33,5833.33,7500,5250,7500,5250
10000,55000,9166.67,13333.33,5833.33,7500,5250,7500,5250
10000,62000,16166.67,20333.33,12833.33,14500,12250,14500,12250
30000,62000,16166.67,20333.33,12833.33,14500,12250,14500,12250
30000,80000,34166.67,38333.33,30833.33,32500,30250,32500,30250
100000,80000,34166.67,38333.33,30833.33,32500,30250,32500,30250
